counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.96763278935185,839,93.03236721064815,2233,208.76695054945046,364
1,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97262888888889,839,93.02737111111111,2233,208.76695054945046,364
2,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.972813171296295,839,93.0271868287037,2233,208.76695054945046,364
3,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.974739375,839,93.025260625,2233,208.76695054945054,364
4,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97622239583333,839,93.02377760416667,2233,208.7669505494505,364
5,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97625978009259,839,93.02374021990741,2233,208.7669505494505,364
6,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97630719907407,839,93.02369280092593,2233,208.7669505494505,364
7,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97635462962963,839,93.02364537037037,2233,208.7669505494505,364
8,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97639340277778,839,93.02360659722223,2233,208.7669505494505,364
9,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.976858969907404,839,93.02314103009259,2233,208.7669505494505,364
10,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97732246527778,839,93.02267753472222,2233,208.7669505494505,364
11,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97778824074074,839,93.02221175925926,2233,208.7669505494505,364
12,695,1099,852.6,20,5,135.99,5000,199.79991643454034,1339,359,34.97824765046296,839,93.02175234953704,2233,208.7669505494505,364
13,695,1099,852.6,20,5,120,5000,199.62381868131862,1352,364,35.52837392361111,853,92.47162607638889,2219,208.47173441734407,369
14,695,1099,852.6,20,5,120,5000,199.62381868131862,1352,364,35.52959960648148,853,92.47040039351852,2219,208.47173441734407,369
15,695,1099,852.6,20,5,120,5000,199.62381868131862,1352,364,35.529639733796294,853,92.4703602662037,2219,208.47173441734407,369
16,695,1099,852.6,20,5,120,5000,199.62381868131862,1352,364,35.52969168981482,853,92.47030831018519,2219,208.47173441734407,369
16,695,1099,852.6,20,5,120,5000,199.62381868131862,1352,364,35.52971572916667,853,92.47028427083333,2219,208.47173441734407,369
17,695,1099,852.6,20,5,120,5000,199.62381868131862,1352,364,35.52976065972222,853,92.47023934027777,2219,208.47173441734407,369
17,695,1099,852.6,20,5,120,5000,199.62381868131862,1352,364,35.529795891203705,853,92.4702041087963,2219,208.47173441734407,369
19,695,1099,852.6,20,5,120,5000,199.62381868131862,1352,364,35.53015439814815,853,92.46984560185186,2219,208.47173441734407,369
